rowid,permanent_identifier,comid,resolution,gnis_id,gnis_name,area_sq_km,reachcode,ftype,fcode,vpuid,data_group,dist_m,location_type,Station,Description,Channel,Slope,notes,dist_to_shore,Latitude,Longitude
369,128076439,23001900247910,2,NA,NA,0.015000000000000001,10190007002539,390,39001,1019,CLP,51.38383349773438,poi_center,NA,NA,NA,NA,NA,NA,40.521947471262244,-104.83467132476933
370,128075673,23001900242096,2,NA,NA,0.032,10190007002322,390,39004,1019,CLP,60.166476424950176,poi_center,NA,NA,NA,NA,NA,NA,40.71307522708167,-104.97175833315563
371,128075826,23001900242098,2,NA,NA,0.045000000000000005,10190007002367,390,39004,1019,CLP,84.25657136882795,poi_center,NA,NA,NA,NA,NA,NA,40.657319779625105,-105.12759390898113
372,128075891,23001900242099,2,00177213,Black Lake,0.066,10190007002382,390,39001,1019,CLP,94.38347308440297,poi_center,NA,NA,NA,NA,NA,NA,40.64406987481406,-105.07801714201378
373,128076637,23001900245125,2,NA,NA,0.013000000000000001,10190007002627,390,39004,1019,CLP,37.036931657864876,poi_center,NA,NA,NA,NA,NA,NA,40.39989123688669,-104.84825148522442
374,128074937,23001900241670,2,NA,NA,0.313,10190007013349,390,39009,1019,CLP,201.0616099312079,poi_center,NA,NA,NA,NA,NA,NA,41.03793795593452,-105.26661793176173
375,128075342,23001900242094,2,00170223,Hiawatha Lake,0.116,10190007002240,390,39004,1019,CLP,123.92527904598666,poi_center,NA,NA,NA,NA,NA,NA,40.80195086592115,-105.59578565080305
376,128075845,23001900244262,2,00177211,Dixon Reservoir,0.161,10190007002374,390,39004,1019,CLP,144.3789053907716,poi_center,NA,NA,NA,NA,NA,NA,40.65551508280846,-105.07810041050462
377,128076124,23001900244266,2,NA,NA,0.06,10190007002447,390,39004,1019,CLP,91.0126308084623,poi_center,NA,NA,NA,NA,NA,NA,40.58256827691702,-105.10350539980965
378,128076345,23001900244267,2,NA,NA,0.011000000000000001,10190007014449,390,39001,1019,CLP,49.28811341213575,poi_center,NA,NA,NA,NA,NA,NA,40.541905677822534,-104.9126040845512
379,128076475,23001900244271,2,NA,NA,0.046,10190007002558,390,39004,1019,CLP,92.5579876217296,poi_center,NA,NA,NA,NA,NA,NA,40.4923971586233,-105.0665443582309
380,128076533,23001900244272,2,NA,NA,0.012,10190007002586,390,39004,1019,CLP,49.574674424795745,poi_center,NA,NA,NA,NA,NA,NA,40.442494096790355,-104.87343902891222
381,128075629,23001900249139,2,00199699,North Poudre Reservoir Number 2,1.0030000000000001,10190007002313,390,39004,1019,CLP,332.06027233987334,poi_center,NA,NA,NA,NA,NA,NA,40.7204278394701,-105.05509468522249
382,128075877,23001900249141,2,00177304,Browns Lake,0.075,10190007002375,390,39004,1019,CLP,136.0888421893599,poi_center,NA,NA,NA,NA,NA,NA,40.60336087198867,-105.68661583409093
383,128076510,23001900238790,2,NA,NA,0.047,10190007002573,390,39004,1019,CLP,84.20376782646979,poi_center,NA,NA,NA,NA,NA,NA,40.486971346327685,-104.76767066399873
384,128076540,23001900238791,2,NA,NA,0.05,10190007002587,390,39004,1019,CLP,59.4199811519662,poi_center,NA,NA,NA,NA,NA,NA,40.451007617139794,-104.708933232126
